Location_Description,Sample_Date_and_Time,what3words_location,Approx_River_Depth_at_Sample_Point_cm,Sampling_Depth_cm_estimated,Weather_Conditions,River_Flow,River_state,E_coli_count_Colonies_per_1ml,Phosphate_PO4_mgpL,Phosphate_P_mgpL,Nitrate_ppm,Ammonia_ppm,datasheet_date
"The Green, Grundisburgh",3.10 pm,salon.charge.winner,15cm,NA,Sunny periods,Slow flow,Clear,3,NA,NA,10,NA,2024-04-02
"River Lark; Burgh St B1079, Grundisburgh",3.35 pm,verge.drop.fake,NA,NA,Sunny periods,Very slow flow,Clear,2,NA,NA,5,NA,2024-04-02
River Lark; Boot Street upstream 12m,6.45 pm,curly.annoys.mooring,NA,NA,Cloudy,Slow stream,Fairly clear,29,1.25,0.407625,10,NA,2024-04-02
River Lark; Boot St outfall,6.47 pm,entire.imposes.publisher,From outfall,NA,Cloudy,Outfall above river level,Murky,ca 400,12.6,4.10886,100,1.94,2024-04-02
River Lark; Boot St 12m downstream,6.43 pm,rebounded.minivans.consented,NA,NA,Cloudy,Slow flow,Fairly clear,34,1.1,0.35871,50,NA,2024-04-02
River Lark; Boot Street Bridge,6.40 pm,privately.musically.fewest,NA,NA,Cloudy,Slow flow,Clear,31,NA,NA,10,NA,2024-04-02
Playford Bridge,3.56 pm,blog.maker.rots,NA,NA,Cloudy,Very slow,Fairly clear,18,NA,NA,10,NA,2024-04-02
Little Bealings Bridge,4.08 pm,taxpayers.caked.reverted,NA,NA,Cloudy,Very slow,Fairly clear,94,0.3,0.09783,70,NA,2024-04-02
Red Lion Bridge Martlesham,Monday 1st April 4.30 pm,rungs.repelled.engaging,100cm,30cm,Sunny periods,Slow flowing,Mildly cloudy,4,NA,NA,NA,NA,2024-04-02
Martlesham Sluice: River Fynn,Monday 1st April 4.40 pm,glitz.howler.restores,100 cm +,30cm,Sunny periods,No flow,Scum on water,3,NA,NA,NA,NA,2024-04-02
Kirton Sluice Seaward,6.05 pm,wobbles.birdcage.soon,100cm +,30cm,Cloudy,High tide,Cloudy,0,NA,NA,NA,NA,2024-04-02
Kirton Sluice Landward,6.10 pm,wobbles.birdcage.soon,100 cm +,30cm,Cloudy,Static/ sluice closed,Brackish and clear,0,NA,NA,NA,0.06,2024-04-02
Waldringfield Beach,5.40 pm,denim.excusing.storm,75cm,30cm,Sunny periods,High tide,Clear,0,NA,NA,NA,NA,2024-04-02
Kyson Point,Monday 1st April 5.05 pm,kicks.strictest.aly,NA,NA,Sunny periods,High tide,Clear,0,NA,NA,NA,NA,2024-04-02
Martlesham Creek STW outfall,Monday 1st April 4.48 pm,query.operated.unsecured,Direct from outfall,NA,Sunny periods,Almost high tide,Clear,ca350,8.199999999999999,2.67402,50,5.89,2024-04-02
Woodbridge Houseboats Charter Marine,5.10 pm,reservoir.tens.bicker,50cm+,30cm,Sunny periods,High tide,"Cloudy, scum on surface",0,NA,NA,NA,NA,2024-04-02
Woodbridge Tide Mill,5.10 pm,unsecured.paving.refutes,100cm+,30cm,Sunny periods,Tide coming in,Clear,0,NA,NA,NA,NA,2024-04-02
Woodbridge Lime Kiln Quay,5.00 pm,sandpaper.producing.slimming,50com,25cm,Sunny periods,Tide coming in,Cloudy and smelly,NA,NA,NA,NA,NA,2024-04-02
Melton Sluice South Farm,10.40 am,dockers.effort.daring,50cm,25cm,Sunny periods,Tide out fast from outfall,Clear,0,NA,NA,NA,NA,2024-04-02
Melton Sluice South  No 2,Not done,NA,75cm,30cm,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-02
Wilford Bridge,6.50 pm,vital.briskly.different,100cm+,30cm,Cloudy,Slow/ tide going out,Clear,5,NA,NA,NA,NA,2024-04-02
Ufford Upper Pool,10.50 am,blending.anguished.asterisk,75cm,30cm,NA,NA,NA,1,NA,NA,NA,NA,2024-04-02
Ufford Lower Pool,10.55 am,slid.bookshop.widgets,75cm,35cm,NA,NA,NA,0,NA,NA,NA,NA,2024-04-02
Byng Brook Bridge,NOT DONE,NA,50cm,35cm,NA,NA,NA,0,NA,NA,NA,NA,2024-04-02
Rendlesham Weir,9.30 am,diggers.grumbles.birthing,108cm,35 cm,Sunny periods,Medium flow,Clear,0,NA,NA,NA,NA,2024-04-02
Rendlesham STW outfall,9.17 am,spill.facelift. feasting,Direct from outfall,NA,Sunny periods,Fast flowing,Clear,18,21.2,6.91332,NA,NA,2024-04-02
Rendlesham Ford,9.22 am,systems.hockey.traffic,50cm,30cm,Sunny periods,Medium flow,Clear,4,NA,NA,NA,NA,2024-04-02
Wickham Market White Bridges,11.34 am,making.whirlwind.thinker,100cm,30mm,Partly cloudy,Normal,Clear,6,NA,NA,NA,NA,2024-04-02
Wickham Market A12 bridge (downstream),12.05 am,decking.regard.reputable,100cm,30cm,Partly cloudy,Norma,Clear,37,0.6,0.19566,NA,NA,2024-04-02
Wickham Market STW outfall,11.55 am,looms.loudly.behave,Direct from outfall,NA,Partly cloudy,Normal,Clear,ca350,23.4,7.63074,NA,2.06,2024-04-02
Wickham Market Spring Lane (upstream),12.15 am,daylight.configure.cotton,100cm +,30cm,Partly cloudy,Normal,Clear,11,NA,NA,NA,NA,2024-04-02
Glavering Bridge S2,10.50 am,tweed.combos.pickles,100cm+,30cm,Sunny periods,Fast flowing,Clear,24,0.07000000000000001,0.022827,NA,NA,2024-04-02
Potsford Brook circa one mile downstream,Thursday 4th April pm,plan.video.ships,50cm,30cm,Sunny,Steady,NA,67,NA,NA,NA,NA,2024-04-02
Potsford Brook Charfield downstream of STW,10.15 am,headless.starring.necks,15cm,15cm,Sunny periods,Slow flow,Cloudy,ca 500,15.6,5.08716,NA,NA,2024-04-02
Potsford Brook Charfield STW outfall,10.20 am,listings.cutlets.twinkling,Direct from outfall,Direct from outfall,Sunny periods,Steady flow from outfall,Cloudy and smelly,ca 700,15.8,5.15238,50,3.19,2024-04-02
Potsford Brook Charfield Bridge,9.55 am,boss.situation.roots,Less than 30cm,15cm,Sunny periods,Very slow,Clear,0,NA,NA,NA,NA,2024-04-02
Charfiled farm culvert outfall into Brook,Not done; no flow,singers.tightrope.farmed,50cm,30cm,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-02
Easton Field (downstream),9.25 am,swift.nips.banana,75cm,30 cm,Cloudy/ light rain,Slow/ steady,Cloudy,26,NA,NA,NA,NA,2024-04-02
Easton STW outfall,9.30 am,trooper.poodle.cleanser,Direct from outfall,Outfall,Cloudy/ light rain,Steady outface,Clear but smelly,ca 800,13.8,4.50018,10,40.3,2024-04-02
Easton Bridge (upstream),9.15 am,flick.hunt.toast,100cm,30 cm,Cloudy/ light rain,Fast flowing,Clear,8,NA,NA,NA,NA,2024-04-02
debenham 14,Tuesday 2nd April 9.35,prosper mandolin confetti,from outlet pipe,from outlet flow,drizzling,slow,clear,61,5,1.6305,250,0.25,2024-04-02
Debenham 13 Downstream from CSO,9.45,pretty. needed. chill,12cm,12m,drizzling,very very slow,clear,19,2.42,0.789162,25,0.02,2024-04-02
12 Debenham,NOT DONE,NA,NA,NA,drizzling/ clear spells,NA,NA,NA,NA,NA,NA,NA,2024-04-02
Debenham11 Upstream from STW,9.30,attaching. runners.presses,30cm,30cm,drizzling/ clear spells,very slow,clear,15,0.23,0.075003,10,0.17,2024-04-02
Debenham 8 Kenton Road Bridge/ Thorpe Lane,10am,swimsuits wheels ripples,5cm,5cm,drizzling/ clear spells,very slow,clear,1,0.08,0.026088,25,0.05,2024-04-02
Debenham 7 Ipswich Road/ Thorpe Lane,10.05,modem slap input,8cm,8cm,drizzling/ clear spells,very slow,clear,26,0.44,0.143484,10,0.41,2024-04-02
Debenham 6 Kenton Road Bridge,10.10,fuzzy foreheads custom,30cm,30cm,drizzling/ clear spells,"slow, increasing in narrow channel",clear,13,0.21,0.068481,10,0.09,2024-04-02
Debenham 5 Priory Road Bridge,10.20,compress ever shelters,20cm,20cm,drizzling/ clear spells,"slow, narrow as silted up",clear,14,0.08,0.026088,10,0.1,2024-04-02
Debenham 4 Water Lane Ford,10.25,salary boomer viewer,5cm,5cm,raining,very slow,clear,63,0.11,0.035871,10,0.1,2024-04-02
Debenham 3 Footbridge Chancery Lane Aspall Road,10.35,emulating fondest league,30cm,30cm,raining,very slow,clear,37,0.1,0.03261,10,0.05,2024-04-02
Debenham 2 Corner Bridge Chancery / Brook Lane,10.45,radar snored drummers,8cm,8cm,raining,very slow,cloudy,6,0.04,0.013044,10,0.04,2024-04-02
Debenham 1 Brook Lane Corner Bridge,10.40,riots headset enable,6cm,6cm,dry,very slow,little cloudy,76,0.19,0.061959,10,0.2,2024-04-02
"10, Valley Cottage Aspall",NOT DONE,digitally genius ally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-02
