Location_Description,Sample_Date_and_Time,what3words_location,Approx_River_Depth_at_Sample_Point_cm,Sampling_Depth_cm_estimated,Weather_Conditions,River_Flow,River_state,E_coli_count_Colonies_per_1ml,Phosphate_PO4_mgpL,Phosphate_P_mgpL,Nitrate_ppm,Ammonia_ppm,datasheet_date
"The Green, Grundisburgh",4.18pm,salon.charge.winner,15cm,10cm,Light wind; overcast,Slow,Clear,10,0.7,0.2282,5,NA,2024-06-03
"River Lark; Burgh St B1079, Grundisburgh",4.46pm,verge.drop.fake,50cm,30cm,NA,Very slow,Clear,21,0.25,0.0815,20,NA,2024-06-03
River Lark; Boot Street upstream 12m,DID NOT SAMPLE,curly.annoys.mooring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-03
River Lark; Boot St outfall,DID NOT SAMPLE,entire.imposes.publisher,From outfall,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-03
River Lark; Boot St 12m downstream,DID NOT SAMPLE,rebounded.minivans.consented,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-03
River Lark; Boot Street Bridge,2.15pm,privately.musically.fewest,NA,30cm,Overcast,Medium flow,Cloudy water,15,1.17,0.38142,25,NA,2024-06-03
Playford Bridge,5.14pm,blog.maker.rots,NA,30cm,Cloudy and dry,Very slow flow,Slightly murky water,30,0.5,0.163,30,NA,2024-06-03
Little Bealings Bridge,5.02pm,taxpayers.caked.reverted,NA,30cm,Cloudy and dry,Slow flow,Clear,32,1.26,0.41076,10,NA,2024-06-03
Red Lion Bridge Martlesham,12.15pm,rungs.repelled.engaging,100cm,30cm,Cloudy; little sun,Gentle,NA,18,0.57,0.18582,50,NA,2024-06-03
Martlesham Sluice: River Fynn,12.30pm,glitz.howler.restores,100 cm +,30cm,Cloudy; little sun,Gentle,NA,27,0.51,0.16626,25,NA,2024-06-03
Bawdsey Quay,2.00pm on 4th June,NA,75cm,30cm,Sunny periods,Tide going out,Muddy,0,0,0,0,NA,2024-06-03
Bawdsey Alderton Evacuation Sluice,2.15pm on 4th June,NA,100+cm,30cm,Sunny periods,No flow; tide going out,Muddy with bubbles,0,NA,NA,0,NA,2024-06-03
Ramsholt Quay,1.45pm on 4th June,NA,50cm,30cm,Sunny periods,Tide going out,Muddy,0,0.04,0.01304,0,NA,2024-06-03
Kirton Sluice Seaward,DID NOT SAMPLE,wobbles.birdcage.soon,100cm +,30cm,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-03
Kirton Sluice Landward,DID NOT SAMPLE,wobbles.birdcage.soon,100 cm +,30cm,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-03
Waldringfield Beach,DID NOT SAMPLE,denim.excusing.storm,75cm,30cm,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-03
Kyson Point,12.00pm,kicks.strictest.aly,NA,NA,Cloudy; little sun,1 hr after high tide,Tide going out,1,0.15,0.0489,10,NA,2024-06-03
Martlesham Creek STW outfall,12.38pm,query.operated.unsecured,Direct from outfall,NA,Cloudy; little sun,2hrs after high tide,Tide going out,1000+,17.5,5.705,75,8.69,2024-06-03
